,Year,Country,value
178,2008,GUY,15831.13810004904
179,2009,GUY,18335.96399590716
180,2010,GUY,61442.14231752206
181,2011,GUY,78683.75383793887
182,2012,GUY,83923.45679340213
183,2013,GUY,83049.17284564578
184,2014,GUY,32363.409148367875
185,2015,GUY,25982.61059655387
186,2016,GUY,30356.794167357424
187,2000,HTI,1976.4422402096102
188,2001,HTI,1131.656506070071
189,2002,HTI,1113.446212805752
190,2003,HTI,1095.855067736476
191,2004,HTI,1184.5365887144653
192,2005,HTI,2350.971629867379
193,2006,HTI,3479.3718702365077
194,2007,HTI,3120.7854355114932
195,2008,HTI,3789.1695120127924
196,2009,HTI,5027.469153657767
197,2010,HTI,8415.622318334792
198,2011,HTI,6771.77272787311
199,2012,HTI,5416.548014862171
200,2013,HTI,4017.916028871786
201,2014,HTI,3347.5633783073886
202,2015,HTI,3283.1481400395346
203,2016,HTI,4003.5643781227723
204,2000,HND,5383.733354301155
205,2001,HND,3608.0651289447383
206,2002,HND,2509.486523476004
207,2003,HND,2007.8702599909777
208,2004,HND,2400.420979398966
209,2005,HND,2170.902822702596
210,2006,HND,1581.00492136347
211,2007,HND,1363.912582972538
212,2008,HND,1062.9192834237178
213,2009,HND,2319.0978592339707
214,2010,HND,2370.656044617682
215,2011,HND,1827.1947890224626
216,2012,HND,1516.8747911681253
217,2013,HND,1253.9003913818603
218,2014,HND,778.9569469065125
219,2015,HND,797.9172462726384
220,2016,HND,925.614298990647
221,2000,MEX,72.6506464486963
222,2001,MEX,48.473291197145535
223,2002,MEX,44.31002883908261
224,2003,MEX,36.15092411616221
225,2004,MEX,31.833089782781034
226,2005,MEX,27.352623383010073
227,2006,MEX,22.835368312236838
228,2007,MEX,21.111204759855084
229,2008,MEX,20.736956597268307
230,2009,MEX,46.80307630750705
231,2010,MEX,20.959957352496048
232,2011,MEX,18.926859335321115
233,2012,MEX,13.862645613332976
234,2013,MEX,8.144547336953773
235,2014,MEX,10.690572332025992
236,2015,MEX,8.75360785468382
237,2016,MEX,9.346056504767905
238,2000,NIC,4750.143033455108
239,2001,NIC,2054.9919129539776
240,2002,NIC,1487.8955491523732
241,2003,NIC,1281.6552337880726
242,2004,NIC,1298.9427092249794
243,2005,NIC,1234.7267167943653
244,2006,NIC,571.3540264771401
245,2007,NIC,245.558488011639
246,2008,NIC,136.20505545976712
247,2009,NIC,107.64868621837401
248,2010,NIC,241.21066841323642
249,2011,NIC,318.5360427836951
250,2012,NIC,420.27473376361297
251,2013,NIC,401.9679949382306
252,2014,NIC,386.76440975943285
253,2015,NIC,758.6276632738877
254,2016,NIC,2043.6011608591189
255,2000,PAN,341.8750393931784
256,2001,PAN,300.3543404438771
257,2002,PAN,712.5472133974117
258,2003,PAN,1402.2299819205814
259,2004,PAN,1558.322712576475
260,2005,PAN,1101.0474513318711
261,2006,PAN,490.2849578629118
262,2007,PAN,370.89507317577386
263,2008,PAN,211.58796769757026
264,2009,PAN,434.71154960977935
265,2010,PAN,229.46721336223817
266,2011,PAN,190.9497376059326
267,2012,PAN,447.3966972158037
268,2013,PAN,367.33462517018535
269,2014,PAN,447.74750729126595
270,2015,PAN,283.17699393512476
271,2016,PAN,402.07043966724825
272,2000,PRY,1292.360495596583
273,2001,PRY,501.23700113046516
274,2002,PRY,504.30135654886504
275,2003,PRY,248.21904617551868
276,2004,PRY,121.67455038273134
277,2005,PRY,64.36034615858459
278,2006,PRY,139.89946277246398
