Stname,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,1.3476565263748737,2.2383212232694083,2.455308365525774,1.7763996863766354,1.3242901970080312,0.6564831540951966,2.37633293374935,2.782034052096798,1.9075046744461772,0.6305252401355377,0.41793370234093025,5.0012148784475565,5.191499894924042,4.968470911673008,13.216365743097391,5.151282875487311,7.811303572951923,8.410049393655951
Alaska,3.1849010212385127,3.1559978160495112,4.670445576076109,4.62667369921069,4.550377226272058,5.997487052924824,4.44245685633983,14.699397324709688,8.727844004334829,10.015810672561686,9.80521245093892,15.234655239751923,13.691146893684136,18.994769654498707,10.86503319946707,12.202612172512396,20.229155877783533,13.51742260599687
Arizona,0.38755288643576524,0.5688846277323292,0.7412548146816635,0.7259048585538088,2.2999063761189045,1.7125994399457312,1.6586110691390366,0.32427098612914645,1.2738119235802012,1.1035519553837096,0.312120870679896,2.31714017941153,1.982726184446306,4.822909543769336,3.1185772159718677,1.756030060893269,1.8717284346648713,3.972264514228935
Arkansas,2.6133171656111354,1.4861209308615675,1.1086773589974896,0.0,0.0,0.0,0.0,0.3510434767345936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688046120766049,1.998003994009984
California,2.8245282147860697,2.755263728333549,2.7816138080227075,2.4394976915402107,1.3492782036249706,2.651561659568343,2.359721366321979,2.068947767096398,2.0216183672442964,3.1654791565507736,3.4565080057146527,2.444089915623906,1.8440083768558824,2.9257468439028376,1.8899608361279943,2.5158432662505117,3.417571628156883,3.680263854105813
Colorado,0.0,0.0,0.2226970122523442,0.0,0.0,0.0,0.0,0.0,0.6135308084495463,0.20111841953101198,0.5942616902664491,0.0,0.0,0.0,0.0,0.0,0.0,0.7122631413439907
Connecticut,1105.8753253802931,1047.8219896965627,1338.923408434668,402.6592154143573,385.5731567858301,516.1171112497562,508.3213455163669,866.9594332160566,1098.8332230081462,1166.8234690986906,857.192749624559,846.9845371671252,739.2064589451076,813.6492796074456,656.5069435345611,708.2909060297827,488.44907359541554,573.8860845915364
Delaware,212.3674134284875,191.02700895690455,240.64433139949563,259.16775366349515,408.038969527072,764.3613559723126,560.9425697221357,820.1902153027993,873.4276605036464,1103.4730243459344,729.2170365553388,962.1785574154981,730.997346993186,551.0817008395063,447.1389540594212,462.07137568739756,533.071503219499,635.266927042519
District of Columbia,19.22922282473787,29.59074262320193,43.61799015280254,24.62612268734323,28.1812193309074,17.632455001974837,108.64213106796967,201.9484543979499,127.53431362411158,103.00087128605874,69.41173554128758,0.0,0.0,53.81047336304696,60.376173750552816,179.19183003728966,150.02002694534465,120.74326101674451
Florida,3.3650069808316116,2.6288493844151786,4.733551955526182,2.5288041079540595,2.641352859591769,2.634228219892817,1.8715263232929618,1.6332893107421111,4.749746387831365,5.8972872693008025,4.457230091503219,6.023038804291672,6.1056915911691005,7.054072945043762,7.804502744919143,8.207968562887057,10.470198180492838,10.011054110605558
Georgia,0.0,0.0,0.23506579961862925,1.1597170429581227,1.3684177396202093,0.6721994657806779,0.8737618385172349,1.1764720981460082,3.682333311554962,4.1576385278384045,1.0296741801991598,3.2647804261721936,3.1308400265980008,0.8021396272417045,0.3972588740432144,0.785768861571198,0.38817001419634783,0.7682663733169565
