Year,Incidents
2000,69.56869701829588
2001,63.98423831055233
2002,92.38491638981108
2003,69.9186818387724
2004,65.61266331522275
2005,79.34066788624247
2006,82.40643393949836
2007,119.21655450058581
2008,157.79027155155117
2009,170.78610862617512
2010,138.535335150427
2011,154.85259195666728
2012,146.36959585239381
2013,182.09912404704045
2014,151.66826247408295
2015,164.13379833187798
2016,166.2545243936242
2017,208.53767468262345
