Stname,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
New Jersey,"8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602",8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
New Mexico,"1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802",2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
New York,"19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066",19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
North Carolina,"8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566",9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
North Dakota,"642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968",674710,685136,701116,721999,737382,754022,754353,755176,760077
Ohio,"11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896",11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
Oklahoma,"3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572",3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079
Oregon,"3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600",3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
Pennsylvania,"12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858",12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
Rhode Island,"1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646",1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
South Carolina,"4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872",4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
South Dakota,"755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067",816165,823484,833496,842270,849088,853933,862890,873286,882235
Tennessee,"5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019",6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
Texas,"20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761",25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
Utah,"2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421",2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105
Vermont,"609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817",625880,626979,626063,626212,625218,625197,623644,624525,626299
Virginia,"7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937",8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
Washington,"5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426",6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
West Virginia,"1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775",1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832
Wisconsin,"5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264",5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
Wyoming,"494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851",564483,567224,576270,582123,582548,585668,584290,578934,577737
